"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 30 00:06:25 MSK 2020","Wed Dec 30 00:06:37 MSK 2020","11320","test","test_add_contact","","","","test_add_contact[None:firstnamet5 9  lastname8D   k]",""
"passed","Wed Dec 30 01:26:53 MSK 2020","Wed Dec 30 01:26:53 MSK 2020","6","test","test_phones","","","","test_compare_contact_on_home_page_and_from_db",""
"passed","Wed Dec 30 01:14:21 MSK 2020","Wed Dec 30 01:14:23 MSK 2020","2225","test","test_add_contact_to_group","","","","test_add_contact_to_group",""
"broken","Wed Dec 30 01:17:30 MSK 2020","Wed Dec 30 01:17:30 MSK 2020","0","test","test_add_group","","","","test_add_group[None:name;headeriL$ #Chk']Iv; *[t=;footer$=7qK=@zY>5]VR]",""
"broken","Wed Dec 30 01:26:50 MSK 2020","Wed Dec 30 01:26:51 MSK 2020","922","test","test_phones","","","","test_on_contact_view_page",""
"passed","Wed Dec 30 01:25:41 MSK 2020","Wed Dec 30 01:25:43 MSK 2020","2018","test","test_modify_contact","","","","test_modify_some_contact",""
"passed","Wed Dec 30 00:05:42 MSK 2020","Wed Dec 30 00:05:51 MSK 2020","8977","test","test_add_contact","","","","test_add_contact[None:firstname  lastname s J01R]",""
"passed","Wed Dec 30 01:24:06 MSK 2020","Wed Dec 30 01:24:08 MSK 2020","2739","test","test_delete_contact_from_group","","","","test_delete_contact_from_group",""
"passed","Wed Dec 30 01:26:52 MSK 2020","Wed Dec 30 01:26:53 MSK 2020","1038","test","test_phones","","","","test_compare_some_contact_on_home_and_edit_pages",""
"failed","Wed Dec 30 01:22:22 MSK 2020","Wed Dec 30 01:22:23 MSK 2020","1097","test","test_del_group","","","","test_delete_some_group",""
"broken","Wed Dec 30 01:17:28 MSK 2020","Wed Dec 30 01:17:28 MSK 2020","0","test","test_add_group","","","","test_add_group[None:name(7T3 ;headeri[O^a]UE#i)D?;footer?dEw]+#*@^CBm] MYE]",""
"passed","Wed Dec 30 01:20:49 MSK 2020","Wed Dec 30 01:20:51 MSK 2020","1858","test","test_del_contact","","","","test_delete_some_contact",""
"passed","Wed Dec 30 00:05:51 MSK 2020","Wed Dec 30 00:06:02 MSK 2020","11431","test","test_add_contact","","","","test_add_contact[None:firstnamenOt3 lastnameD]",""
"passed","Wed Dec 30 01:26:47 MSK 2020","Wed Dec 30 01:26:50 MSK 2020","3839","test","test_phones","","","","test_phones_on_home_page",""
"broken","Wed Dec 30 01:17:31 MSK 2020","Wed Dec 30 01:17:31 MSK 2020","0","test","test_add_group","","","","test_add_group[None:name&XA;header0v5iAl;footerP$q6/t  }8o0B'#?O^g]",""
"passed","Wed Dec 30 01:20:06 MSK 2020","Wed Dec 30 01:20:08 MSK 2020","2724","test","test_db_matches_ui","","","","test_group_list",""
"broken","Wed Dec 30 01:17:27 MSK 2020","Wed Dec 30 01:17:27 MSK 2020","0","test","test_add_group","","","","test_add_group[None:name\;header^V5 ;94l )ey;footerrR ]",""
"broken","Wed Dec 30 01:17:25 MSK 2020","Wed Dec 30 01:17:25 MSK 2020","1","test","test_add_group","","","","test_add_group[None:;;]",""
"passed","Wed Dec 30 01:26:15 MSK 2020","Wed Dec 30 01:26:22 MSK 2020","6838","test","test_modify_group","","","","test_modify_some_group",""
"passed","Wed Dec 30 00:06:03 MSK 2020","Wed Dec 30 00:06:14 MSK 2020","11367","test","test_add_contact","","","","test_add_contact[None:firstnamecHXFaG lastnameExH0  ]",""
"passed","Wed Dec 30 01:20:08 MSK 2020","Wed Dec 30 01:20:12 MSK 2020","3462","test","test_db_matches_ui","","","","test_contact_list",""
"broken","Wed Dec 30 01:17:29 MSK 2020","Wed Dec 30 01:17:29 MSK 2020","0","test","test_add_group","","","","test_add_group[None:nameIx6y{;headerE(s2 /xOJ;footer ]",""
"passed","Wed Dec 30 00:06:14 MSK 2020","Wed Dec 30 00:06:25 MSK 2020","11363","test","test_add_contact","","","","test_add_contact[None:firstnamenFHdmd lastnameiAH9WjoE]",""
"passed","Wed Dec 30 00:05:35 MSK 2020","Wed Dec 30 00:05:42 MSK 2020","6859","test","test_add_contact","","","","test_add_contact[None: ]",""
